"NmCategory","tahun","bulan","jumlah_produk_terjual","bulan_sebelumnya","selisih"
LAIN-LAIN,2024,4,86,36,50
MAKANAN,2024,3,8,47,-39
MAKANAN,2024,5,59,32,27
LAIN-LAIN,2024,3,36,61,-25
MAKANAN,2024,4,32,8,24
FOODS,2024,5,25,7,18
MAKANAN,2024,6,43,59,-16
LAIN-LAIN,2024,2,61,76,-15
FOODS,2024,6,16,25,-9
LAIN-LAIN,2024,6,83,91,-8
LAIN-LAIN,2024,1,76,68,8
MINUMAN,2024,5,10,2,8
MAKANAN,2024,2,47,40,7
FOODS,2024,3,3,10,-7
LAIN-LAIN,2024,5,91,86,5
MAKANAN,2024,1,40,35,5
SNACK,2024,5,8,4,4
FOODS,2024,4,7,3,4
SNACK,2024,6,4,8,-4
SNACK,2024,4,4,8,-4
PERALATAN MANDI,2024,5,7,3,4
OBAT,2024,1,2,5,-3
BODY CARE,2024,3,1,4,-3
BODY CARE,2024,4,4,1,3
SNACK,2024,1,7,5,2
OBAT,2024,6,1,3,-2
BODY CARE,2024,6,3,5,-2
PAKAIAN,2024,6,13,15,-2
PERALATAN MANDI,2024,6,5,7,-2
DETERGENT,2024,5,3,1,2
PERALATAN MAKAN MINUM,2024,6,5,4,1
OBAT,2024,5,3,2,1
MINUMAN,2024,6,9,10,-1
MINUMAN,2024,4,2,3,-1
MINUMAN,2024,2,3,4,-1
MINUMAN,2024,1,4,5,-1
SNACK,2024,2,8,7,1
ALAT TULIS / KANTOR,2024,6,1,2,-1
FOODS,2024,2,10,9,1
FOODS,2024,1,9,8,1
BODY CARE,2024,1,4,5,-1
BODY CARE,2024,5,5,4,1
DETERGENT,2024,1,1,1,0
OBAT,2024,2,2,2,0
BODY CARE,2024,2,4,4,0
DETERGENT,2024,2,1,1,0
MINUMAN,2024,3,3,3,0
DETERGENT,2024,4,1,1,0
DETERGENT,2024,6,3,3,0
jahis sandwich,2024,6,1,1,0
SNACK,2023,12,5,,
soes arjuna,2024,5,1,,
ALAT TULIS / KANTOR,2024,5,2,,
PERALATAN MANDI,2024,4,3,,
SOUVENIR,2024,6,4,,
PERALATAN MAKAN MINUM,2024,5,4,,
PAKAIAN,2024,5,15,,
OBAT,2023,12,5,,
MINUMAN,2023,12,5,,
MAKANAN,2023,12,35,,
LECI TEA UNIDA MART,2024,5,1,,
LAIN-LAIN,2023,12,68,,
jahis sandwich,2024,5,1,,
FOODS,2023,12,8,,
DETERGENT,2023,12,1,,
cumi bawang,2024,5,1,,
BODY CARE,2023,12,5,,
