"nama_kegiatan","total_penjualan_selama_kegiatan"
,0.0
Rapat senat terbuka dalam rangka wisuda sarjana dan pascasarjana Unida angkatan 42,7880784.0
UAS semester genap 2023,48530372
Liburan semester genap,108211898
Masa orientasi ospek,111283639
Pembukaan awal semester ajaran tahun baru,10806244
Apel Tahunan Pekan Perkenalan Khutbatul Arsy 1445 H,5448038.0
Kuliah Umum Babak I-III Pekan Perkenalan Khutbatul Arsy 1445 H,10766890
UTS semester ganjil 2024,39825245
UTS semester genap 2023,46726373
FESYAR (international conference on islamic laws,61720515
